ticker,fiscalDateEnding,reportedDate,revenue_forecast,eps_forecast,netIncome_forecast,report_lag_days_used
MSFT,2025-12-30,2026-01-28,82937017206.46286,3.6705118630911997,27784560567.492523,29
MSFT,2026-03-30,2026-04-28,83243383565.72745,3.7862108184421337,28982069860.57918,29
MSFT,2026-06-30,2026-07-29,88291906230.93143,3.8853554968783315,30159331270.30231,29
MSFT,2026-09-30,2026-10-29,89582429998.14293,4.134125990795059,32772255782.785892,29
MSFT,2026-12-30,2027-01-28,94311847446.36626,4.0872653996561645,32637144146.15757,29
MSFT,2027-03-30,2027-04-28,94974683604.20499,4.284611553356941,33905332058.757008,29
MSFT,2027-06-30,2027-07-29,101174335159.89847,4.451660881868208,35153272087.99292,29
MSFT,2027-09-30,2027-10-29,102697933426.12564,4.610296720700135,37836875219.98928,29
MSFT,2027-12-30,2028-01-28,108053580047.70927,4.576546444118247,37772442202.87374,29
