date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
1999-11-01,2.29625,,,,,,,,,,,,,
1999-11-02,2.3275,,,,,,,,,,,,,
1999-11-03,2.305,,,,,,,,,,,,,
1999-11-04,2.375,,,,,,,,,,,,,
1999-11-05,2.42125,,,,,,,,,,,,,
1999-11-08,2.42125,,,,,,,,,,,,,
1999-11-09,2.40625,,,,,,,,,,,,,
1999-11-10,2.34375,,,,,,,,,,,,,
1999-11-11,2.29625,,,,,,,,,,,,,
1999-11-12,2.25,,,,,,,,,,,,,
1999-11-15,2.59375,,,,,,,,,,,,,
1999-11-16,2.73375,,,,,,,,,,,,,
1999-11-17,2.98375,,,,,,,,,,,,,
1999-11-18,2.78125,,,,,,,,,,,,,
1999-11-19,2.84375,,,,,,,,,,,,,
1999-11-22,2.6875,,,,,,,,,,,,,
1999-11-23,2.765,,,,,,,,,,,,,
1999-11-24,2.78125,,,,,,,,,,,,,
1999-11-26,2.84375,,,,,,,,,,,,,
1999-11-29,2.875,,,,,,,,,,,,,
1999-11-30,2.90625,,,,,,,,,,,,,
1999-12-01,2.9375,,,,,,,,,,,,,
1999-12-02,3.1175,,,,,,,,,,,,,
1999-12-03,3.1875,,,,,,,,,,,,,
1999-12-06,3.3275,,,,,,,,,,,,,
1999-12-07,3.6175,,,,,,,,,,,,,
1999-12-08,3.59375,,,,,,,,,,,,,
1999-12-09,3.5775,,,,,,,,,,,,,
1999-12-10,3.5625,,,,,,,,,,,,,
1999-12-13,3.84375,,,,,,,,,,,,,
1999-12-14,3.84375,,,,,,,,,,,,,
1999-12-15,3.7025,,,,,,,,,,,,,
1999-12-16,3.6875,,,,,,,,,,,,,
1999-12-17,3.6875,,,,,,,,,,,,,
1999-12-20,3.73375,,,,,,,,,,,,,
1999-12-21,3.78125,,,,,,,,,,,,,
1999-12-22,3.75,,,,,,,,,,,,,
1999-12-23,3.6875,,,,,,,,,,,,,
1999-12-27,3.625,,,,,,,,,,,,,
1999-12-28,3.4925,,,,,,,,,,,,,
1999-12-29,3.5,,,,,,,,,,,,,
1999-12-30,3.445,,,,,,,,,,,,,
1999-12-31,3.445,,,,,,,,,,,,,
2000-01-03,3.43375,,,,,,,,,,,,,
2000-01-04,3.6325,,,,,,,,,,,,,
2000-01-05,3.78125,,,,,,,,,,,,,
2000-01-06,3.90625,,,,,,,,,,,,,
2000-01-07,4.03125,,,,,,,,,,,,,
2000-01-10,4.65625,,,,,,,,,,,,,
2000-01-11,5.03125,,,,,,,,,,,,,
2000-01-12,4.6875,,,,,,,,,,,,,
2000-01-13,4.485,,,,,,,,,,,,,
2000-01-14,4.96875,,,,,,,,,,,,,
2000-01-18,4.875,,,,,,,,,,,,,
2000-01-19,4.75,,,,,,,,,,,,,
2000-01-20,4.875,,,,,,,,,,,,,
2000-01-21,5.125,,,,,,,,,,,,,
2000-01-24,5.25,,,,,,,,,,,,,
2000-01-25,5.625,,,,,,,,,,,,,
2000-01-26,5.9375,,,,,,,,,,,,,
2000-01-27,6.09375,,,,,,,,,,,,,
2000-01-28,5.75,,,,,,,,,,,,,
2000-01-31,5.78125,,,,,,,,,,,,,
2000-02-01,5.96875,,,,,,,,,,,,,
2000-02-02,6.5625,,,,,,,,,,,,,
2000-02-03,7.09375,,,,,,,,,,,,,
2000-02-04,7.78125,,,,,,,,,,,,,
2000-02-07,8.6875,,,,,,,,,,,,,
2000-02-08,9.34375,,,,,,,,,,,,,
2000-02-09,8.375,,,,,,,,,,,,,
2000-02-10,8.28125,,,,,,,,,,,,,
2000-02-11,7.5,,,,,,,,,,,,,
2000-02-14,7.6325,,,,,,,,,,,,,
2000-02-15,7.5,,,,,,,,,,,,,
2000-02-16,7.5625,,,,,,,,,,,,,
2000-02-17,7.75,,,,,,,,,,,,,
2000-02-18,7.40625,,,,,,,,,,,,,
2000-02-22,7.6875,,,,,,,,,,,,,
2000-02-23,7.71875,,,,,,,,,,,,,
2000-02-24,8.5,,,,,,,,,,,,,
2000-02-25,8.23375,,,,,,,,,,,,,
2000-02-28,8.0625,,,,,,,,,,,,,
2000-02-29,8.015,,,,,,,,,,,,,
2000-03-01,8.15625,,,,,,,,,,,,,
2000-03-02,8.875,,,,,,,,,,,,,
2000-03-03,9.21875,,,,,,,,,,,,,
2000-03-06,9.2025,,,,,,,,,,,,,
2000-03-07,9.125,,,,,,,,,,,,,
2000-03-08,8.4375,,,,,,,,,,,,,
2000-03-09,7.82875,,,,,,,,,,,,,
2000-03-10,8.625,,,,,,,,,,,,,
2000-03-13,8.17125,,,,,,,,,,,,,
2000-03-14,9.375,,,,,,,,,,,,,
2000-03-15,9.0,,,,,,,,,,,,,
2000-03-16,7.8125,,,,,,,,,,,,,
2000-03-17,8.21875,,,,,,,,,,,,,
2000-03-20,8.5,,,,,,,,,,,,,
2000-03-21,8.34375,,,,,,,,,,,,,
2000-03-22,8.25,,,,,,,,,,,,,
2000-03-23,8.0625,,,,,,,,,,,,,
2000-03-24,8.75,,,,,,,,,,,,,
2000-03-27,8.4375,,,,,,,,,,,,,
2000-03-28,8.25,,,,,,,,,,,,,
2000-03-29,7.8125,,,,,,,,,,,,,
2000-03-30,8.0,,,,,,,,,,,,,
2000-03-31,8.1875,,,,,,,,,,,,,
2000-04-03,7.53125,,,,,,,,,,,,,
2000-04-04,6.875,,,,,,,,,,,,,
2000-04-05,7.25,,,,,,,,,,,,,
2000-04-06,7.57875,,,,,,,,,,,,,
2000-04-07,7.75,,,,,,,,,,,,,
2000-04-10,7.4375,,,,,,,,,,,,,
2000-04-11,7.25,,,,,,,,,,,,,
2000-04-12,7.375,,,,,,,,,,,,,
2000-04-13,6.8125,,,,,,,,,,,,,
2000-04-14,6.34375,,,,,,,,,,,,,
2000-04-17,6.375,,,,,,,,,,,,,
2000-04-18,6.5,,,,,,,,,,,,,
2000-04-19,7.0625,,,,,,,,,,,,,
2000-04-20,7.125,,,,,,,,,,,,,
2000-04-24,6.84375,,,,,,,,,,,,,
2000-04-25,7.26625,,,,,,,,,,,,,
2000-04-26,7.78875,,,,,,,,,,,,,
2000-04-27,7.9375,,,,,,,,,,,,,
2000-04-28,8.14,,,,,,,,,,,,,
2000-05-01,8.25,,,,,,,,,,,,,
2000-05-02,8.53125,,,,,,,,,,,,,
2000-05-03,8.2025,,,,,,,,,,,,,
2000-05-04,8.27375,,,,,,,,,,,,,
2000-05-05,8.0,,,,,,,,,,,,,
2000-05-08,8.265,,,,,,,,,,,,,
2000-05-09,7.8125,,,,,,,,,,,,,
2000-05-10,8.0,,,,,,,,,,,,,
2000-05-11,7.625,,,,,,,,,,,,,
2000-05-12,7.86,,,,,,,,,,,,,
