date,close,reportedDate_point,trailing_eps_4q_point,is_forecast_point,teps_source_point,trailing_eps_4q,pe_ratio,pe_assumed_low,pe_assumed_mid,pe_assumed_high,price_est_low,price_est_mid,price_est_high,valuation_gap_mid
1999-11-01,9.75,,,,,,,,,,,,,
1999-11-02,9.7975,,,,,,,,,,,,,
1999-11-03,10.0625,,,,,,,,,,,,,
1999-11-04,10.0,,,,,,,,,,,,,
1999-11-05,10.11,,,,,,,,,,,,,
1999-11-08,10.015,,,,,,,,,,,,,
1999-11-09,9.9075,,,,,,,,,,,,,
1999-11-10,9.75,,,,,,,,,,,,,
1999-11-11,9.75,,,,,,,,,,,,,
1999-11-12,9.8275,,,,,,,,,,,,,
1999-11-15,9.75,,,,,,,,,,,,,
1999-11-16,9.8125,,,,,,,,,,,,,
1999-11-17,9.5625,,,,,,,,,,,,,
1999-11-18,9.515,,,,,,,,,,,,,
1999-11-19,9.3125,,,,,,,,,,,,,
1999-11-22,9.39,,,,,,,,,,,,,
1999-11-23,9.72,,,,,,,,,,,,,
1999-11-24,9.515,,,,,,,,,,,,,
1999-11-26,9.4075,,,,,,,,,,,,,
1999-11-29,9.2825,,,,,,,,,,,,,
1999-11-30,9.5,,,,,,,,,,,,,
1999-12-01,9.265,,,,,,,,,,,,,
1999-12-02,9.25,,,,,,,,,,,,,
1999-12-03,9.2825,,,,,,,,,,,,,
1999-12-06,9.0775,,,,,,,,,,,,,
1999-12-07,9.1575,,,,,,,,,,,,,
1999-12-08,8.8125,,,,,,,,,,,,,
1999-12-09,8.72,,,,,,,,,,,,,
1999-12-10,8.9225,,,,,,,,,,,,,
1999-12-13,8.9075,,,,,,,,,,,,,
1999-12-14,8.8275,,,,,,,,,,,,,
1999-12-15,8.765,,,,,,,,,,,,,
1999-12-16,8.595,,,,,,,,,,,,,
1999-12-17,8.39,,,,,,,,,,,,,
1999-12-20,8.4375,,,,,,,,,,,,,
1999-12-21,8.5325,,,,,,,,,,,,,
1999-12-22,8.4525,,,,,,,,,,,,,
1999-12-23,8.845,,,,,,,,,,,,,
1999-12-27,8.89,,,,,,,,,,,,,
1999-12-28,8.765,,,,,,,,,,,,,
1999-12-29,8.7825,,,,,,,,,,,,,
1999-12-30,8.8125,,,,,,,,,,,,,
1999-12-31,8.7825,,,,,,,,,,,,,
